id,stationName,centerX,centerY
1,CHIPURUPALLI,510,532
2,GARIVIDI,477,601
3,NELLIMARALA,449,676
4,GARUDABALLI,291,512
5,GOTLAM,303,650
6,SIGADAM,534,476
7,PONDURU,561,418
8,GAJAPATINAGARAM,320,412
9,DUSI,587,358
10,SRIKAKULAM RD.,638,295
11,DONKINAVALASA,353,254
12,KOMATIPALLI,334,329
13,BOBBILI,222,163
14,URLAM,672,227
15,SITANAGARAM,368,99
16,TILARU,713,150
17,PARVATIPURAM,398,36
18,SALUR,222,163
19,KOTABOMMALI,694,68
